		清单数据仅供参考，最终的话费总额请以账单为准
序号	通话地	通话类型	对方号码	开始时间	通话时长	移动话费	长途话费
1	揭阳	被叫	18125197005	2013-09-01 00:07:52	0:1:26	0.00	0.00
2	揭阳	省内10元短号网套餐	980	2013-09-01 10:56:13	0:0:0	10.00	0.00
3	揭阳	被叫	18125197005	2013-09-01 11:28:27	0:1:27	0.00	0.00
4	揭阳	被叫	666262	2013-09-01 22:48:43	0:2:33	0.00	0.00
5	揭阳	被叫	666262	2013-09-02 10:36:49	0:0:38	0.00	0.00
6	揭阳	主叫	665990	2013-09-02 10:38:17	0:4:39	0.00	0.00
7	揭阳	被叫	666262	2013-09-02 10:45:31	0:14:34	0.00	0.00
8	揭阳	被叫	666262	2013-09-02 12:50:30	0:0:30	0.00	0.00
9	揭阳	被叫	663310	2013-09-02 16:58:23	0:0:9	0.00	0.00
10	揭阳	被叫	06638125369	2013-09-02 19:30:41	0:0:42	0.00	0.00
11	揭阳	被叫	06638125369	2013-09-02 19:44:31	0:0:18	0.00	0.00
12	揭阳	被叫	06638125369	2013-09-02 19:46:05	0:0:25	0.00	0.00
13	揭阳	主叫	666262	2013-09-02 20:06:43	0:0:16	0.00	0.00
14	揭阳	被叫	666262	2013-09-02 20:07:21	0:0:27	0.00	0.00
15	揭阳	被叫	06638125369	2013-09-02 20:08:42	0:0:30	0.00	0.00
16	揭阳	被叫	18927056610	2013-09-02 22:30:37	0:0:10	0.00	0.00
17	揭阳	被叫	15815144422	2013-09-02 23:28:42	0:0:49	0.00	0.00
18	揭阳	被叫	15815144422	2013-09-02 23:29:54	0:1:24	0.00	0.00
19	揭阳	被叫	663310	2013-09-03 08:44:14	0:1:10	0.00	0.00
20	揭阳	主叫	8125369	2013-09-03 11:17:47	0:0:14	0.08	0.00
21	揭阳	主叫	665990	2013-09-03 11:19:16	0:1:9	0.00	0.00
22	揭阳	主叫	666262	2013-09-03 11:33:30	0:0:50	0.00	0.00
23	揭阳	被叫	13729456718	2013-09-03 19:01:06	0:3:20	0.00	0.00
24	揭阳	被叫	18125197005	2013-09-03 21:55:16	0:1:16	0.00	0.00
25	揭阳	主叫	665423	2013-09-03 22:07:25	0:0:19	0.00	0.00
26	揭阳	被叫	665423	2013-09-03 22:07:56	0:1:3	0.00	0.00
27	揭阳	被叫	665990	2013-09-04 09:44:28	0:49:18	0.00	0.00
28	揭阳	被叫	13322764666	2013-09-04 10:44:12	0:0:32	0.00	0.00
29	揭阳	被叫	666262	2013-09-04 12:44:42	0:0:23	0.00	0.00
30	揭阳	被叫	13322764666	2013-09-04 13:40:04	0:0:30	0.00	0.00
31	揭阳	主叫	18666332272	2013-09-04 13:56:44	0:0:52	0.16	0.00
32	揭阳	被叫	18666332272	2013-09-04 14:49:26	0:0:32	0.00	0.00
33	揭阳	主叫	665990	2013-09-04 17:12:39	0:0:22	0.00	0.00
34	揭阳	被叫	666262	2013-09-04 22:17:21	0:1:0	0.00	0.00
35	揭阳	主叫	666262	2013-09-04 22:19:05	0:0:20	0.00	0.00
36	揭阳	被叫	13322764666	2013-09-05 11:22:44	0:0:16	0.00	0.00
37	揭阳	被叫	13927086666	2013-09-05 13:42:35	0:0:16	0.00	0.00
38	揭阳	被叫	666262	2013-09-05 15:28:36	0:1:39	0.00	0.00
39	揭阳	被叫	18125197005	2013-09-05 22:02:07	0:1:14	0.00	0.00
40	揭阳	被叫	15815144422	2013-09-05 22:12:38	0:1:18	0.00	0.00
41	揭阳	主叫	8721610	2013-09-06 08:31:02	0:0:29	0.08	0.00
42	揭阳	被叫	06638721610	2013-09-06 09:52:39	0:0:12	0.00	0.00
43	揭阳	被叫	665990	2013-09-06 10:00:42	0:31:36	0.00	0.00
44	揭阳	被叫	13592901522	2013-09-06 13:35:35	0:0:7	0.00	0.00
45	揭阳	被叫	665423	2013-09-06 17:01:55	0:0:32	0.00	0.00
46	揭阳	被叫	663310	2013-09-07 08:39:46	0:0:15	0.00	0.00
47	揭阳	被叫	18635631868	2013-09-07 09:15:22	0:0:1	0.00	0.00
48	揭阳	被叫	665423	2013-09-07 10:10:42	0:0:45	0.00	0.00
49	揭阳	被叫	15815144422	2013-09-07 16:59:33	0:0:46	0.00	0.00
50	揭阳	被叫	13546859977	2013-09-07 18:51:56	0:7:10	0.00	0.00
51	揭阳	被叫	665423	2013-09-07 21:52:21	0:0:46	0.00	0.00
52	揭阳	被叫	15815144422	2013-09-07 22:02:18	0:0:56	0.00	0.00
53	揭阳	被叫	06638125369	2013-09-08 09:09:59	0:0:49	0.00	0.00
54	揭阳	被叫	665423	2013-09-08 11:54:54	0:0:50	0.00	0.00
55	揭阳	被叫	06638125369	2013-09-08 18:09:48	0:0:36	0.00	0.00
56	揭阳	主叫	665990	2013-09-08 19:37:33	0:0:48	0.00	0.00
57	揭阳	被叫	02028263351	2013-09-09 10:57:35	0:0:9	0.00	0.00
58	揭阳	被叫	15017831769	2013-09-09 11:01:25	0:0:30	0.00	0.00
59	揭阳	被叫	15815144422	2013-09-09 17:02:05	0:0:17	0.00	0.00
60	揭阳	主叫	15815144422	2013-09-09 18:33:51	0:0:10	0.00	0.49
61	揭阳	被叫	665423	2013-09-09 18:42:43	0:0:30	0.00	0.00
62	揭阳	被叫	665423	2013-09-09 20:54:28	0:0:22	0.00	0.00
63	揭阳	主叫	15815144422	2013-09-10 16:35:22	0:1:1	0.00	0.98
64	揭阳	被叫	15815144422	2013-09-10 16:38:14	0:0:39	0.00	0.00
65	揭阳	主叫	18666332272	2013-09-11 09:32:27	0:0:53	0.08	0.00
66	揭阳	被叫	665990	2013-09-11 12:55:38	0:0:29	0.00	0.00
67	揭阳	主叫	665990	2013-09-11 14:37:22	0:0:24	0.00	0.00
68	揭阳	被叫	13729456718	2013-09-11 16:52:20	0:3:3	0.00	0.00
69	揭阳	被叫	13729456718	2013-09-11 16:59:12	0:0:21	0.00	0.00
70	揭阳	被叫	13592901522	2013-09-11 20:40:29	0:0:13	0.00	0.00
71	揭阳	被叫	665423	2013-09-11 21:40:03	0:1:9	0.00	0.00
72	揭阳	主叫	13592901522	2013-09-12 08:55:08	0:0:20	0.08	0.00
73	揭阳	被叫	15815144422	2013-09-12 15:07:35	0:0:40	0.00	0.00
74	揭阳	被叫	18501375869	2013-09-12 16:44:45	0:0:7	0.00	0.00
75	揭阳	被叫	18125197005	2013-09-12 21:40:41	0:0:56	0.00	0.00
76	揭阳	被叫	18125197005	2013-09-12 22:05:23	0:1:7	0.00	0.00
77	揭阳	被叫	06638721610	2013-09-13 09:34:05	0:1:36	0.00	0.00
78	揭阳	被叫	06638721610	2013-09-13 09:51:39	0:0:14	0.00	0.00
79	揭阳	主叫	665990	2013-09-13 10:26:51	0:2:34	0.00	0.00
80	揭阳	主叫	665990	2013-09-13 14:31:10	0:0:45	0.00	0.00
81	揭阳	主叫	665990	2013-09-13 16:00:18	0:13:54	0.00	0.00
82	揭阳	主叫	665990	2013-09-13 16:41:26	0:0:37	0.00	0.00
83	揭阳	被叫	15815144422	2013-09-13 16:46:37	0:0:24	0.00	0.00
84	揭阳	被叫	13592901522	2013-09-13 17:12:42	0:0:32	0.00	0.00
85	揭阳	主叫	13592901522	2013-09-13 17:30:45	0:0:21	0.16	0.00
86	揭阳	主叫	8125369	2013-09-13 17:54:51	0:0:12	0.16	0.00
87	揭阳	主叫	665990	2013-09-13 19:11:38	0:1:2	0.00	0.00
88	揭阳	被叫	665990	2013-09-13 20:44:28	0:0:27	0.00	0.00
89	揭阳	主叫	665990	2013-09-14 16:09:18	0:0:14	0.00	0.00
90	揭阳	被叫	18125197005	2013-09-14 19:36:16	0:1:33	0.00	0.00
91	揭阳	被叫	18125197005	2013-09-14 19:52:09	0:0:34	0.00	0.00
92	揭阳	被叫	18125197005	2013-09-14 20:13:02	0:0:34	0.00	0.00
93	揭阳	被叫	665990	2013-09-14 21:25:18	0:0:6	0.00	0.00
94	揭阳	被叫	18125197005	2013-09-14 22:03:03	0:1:54	0.00	0.00
95	揭阳	被叫	18125197005	2013-09-14 22:29:21	0:3:58	0.00	0.00
96	揭阳	被叫	665990	2013-09-14 23:22:10	0:0:8	0.00	0.00
97	揭阳	被叫	18125197005	2013-09-15 12:30:07	0:0:40	0.00	0.00
98	揭阳	主叫	665990	2013-09-15 13:07:03	0:0:24	0.00	0.00
99	揭阳	主叫	13687484000	2013-09-15 13:08:00	0:0:22	0.16	0.00
100	揭阳	主叫	15815144422	2013-09-15 15:05:27	0:0:37	0.00	0.49
101	揭阳	主叫	665990	2013-09-15 16:29:19	0:1:1	0.00	0.00
102	揭阳	主叫	18125197005	2013-09-15 20:37:19	0:0:8	0.00	0.49
103	揭阳	被叫	18125197005	2013-09-15 20:38:08	0:2:13	0.00	0.00
104	揭阳	主叫	663310	2013-09-15 20:42:36	0:0:8	0.00	0.00
105	揭阳	被叫	18125197005	2013-09-15 22:16:22	0:1:53	0.00	0.00
106	揭阳	主叫	15815144422	2013-09-16 10:25:28	0:0:30	0.00	0.49
107	揭阳	被叫	18125197005	2013-09-16 21:50:17	0:0:57	0.00	0.00
108	揭阳	被叫	13729456718	2013-09-17 13:21:52	0:1:9	0.00	0.00
109	揭阳	主叫	15815144422	2013-09-17 16:54:35	0:1:0	0.00	0.49
110	揭阳	被叫	15815144422	2013-09-17 20:17:33	0:1:13	0.00	0.00
111	揭阳	被叫	15815144422	2013-09-17 22:02:49	0:2:17	0.00	0.00
112	揭阳	主叫	665990	2013-09-18 10:23:47	0:9:12	0.00	0.00
113	揭阳	被叫	15815144422	2013-09-18 11:48:40	0:0:7	0.00	0.00
114	揭阳	被叫	15815144422	2013-09-18 11:49:18	0:1:8	0.00	0.00
115	揭阳	主叫	15815144422	2013-09-18 12:52:09	0:0:15	0.00	0.49
116	揭阳	主叫	666262	2013-09-18 13:38:37	0:0:54	0.00	0.00
117	揭阳	被叫	15815144422	2013-09-18 15:49:16	0:0:25	0.00	0.00
118	揭阳	被叫	15815144422	2013-09-18 15:56:35	0:0:18	0.00	0.00
119	揭阳	被叫	15815144422	2013-09-18 16:19:15	0:0:10	0.00	0.00
120	汕头	主叫	13592901522	2013-09-18 18:32:48	0:2:10	1.77	0.00
121	汕头	被叫	13546859977	2013-09-19 08:59:15	0:0:7	0.00	0.00
122	汕头	被叫	666262	2013-09-19 20:40:56	0:1:3	0.00	0.00
123	汕头	被叫	663310	2013-09-19 21:13:51	0:0:21	0.00	0.00
124	汕头	被叫	666262	2013-09-19 21:34:51	0:2:43	0.00	0.00
125	汕头	主叫	663310	2013-09-19 22:54:10	0:1:51	0.00	0.00
126	汕头	被叫	666262	2013-09-20 11:49:17	0:3:21	0.00	0.00
127	汕头	主叫	13546859977	2013-09-20 12:07:06	0:0:8	0.59	0.00
128	汕头	被叫	665423	2013-09-20 16:10:01	0:1:10	0.00	0.00
129	汕头	主叫	15876184806	2013-09-20 18:27:35	0:0:51	0.59	0.00
130	汕头	被叫	15876184806	2013-09-20 18:59:04	0:0:18	0.00	0.00
131	汕头	被叫	666262	2013-09-21 13:36:17	0:1:37	0.00	0.00
132	汕头	被叫	15815144422	2013-09-21 15:16:24	0:0:23	0.00	0.00
133	揭阳	主叫	666262	2013-09-21 15:48:16	0:1:11	0.00	0.00
134	揭阳	主叫	15815144422	2013-09-21 15:57:52	0:0:16	0.00	0.49
135	揭阳	主叫	666262	2013-09-21 15:59:48	0:0:23	0.00	0.00
136	揭阳	被叫	13546859977	2013-09-21 16:07:16	0:0:13	0.00	0.00
137	揭阳	被叫	15815144422	2013-09-21 19:57:43	0:0:25	0.00	0.00
138	揭阳	被叫	13729456718	2013-09-21 21:36:00	0:0:34	0.00	0.00
139	揭阳	被叫	15815144422	2013-09-21 21:54:26	0:1:27	0.00	0.00
140	揭阳	被叫	15815144422	2013-09-21 22:09:23	0:2:21	0.00	0.00
141	揭阳	被叫	06638235448	2013-09-21 22:22:18	0:0:40	0.00	0.00
142	揭阳	被叫	665990	2013-09-22 09:48:07	0:17:31	0.00	0.00
143	揭阳	被叫	15815144422	2013-09-22 11:15:22	0:0:45	0.00	0.00
144	揭阳	被叫	665990	2013-09-22 11:22:25	0:0:50	0.00	0.00
145	揭阳	被叫	18927056610	2013-09-22 11:54:33	0:0:42	0.00	0.00
146	揭阳	被叫	665423	2013-09-22 15:06:00	0:2:23	0.00	0.00
147	揭阳	被叫	13682725423	2013-09-22 16:28:12	0:0:29	0.00	0.00
148	揭阳	被叫	665423	2013-09-22 16:29:09	0:0:30	0.00	0.00
149	揭阳	被叫	13592901522	2013-09-22 16:33:10	0:0:25	0.00	0.00
150	揭阳	主叫	665423	2013-09-22 17:26:52	0:0:27	0.00	0.00
151	揭阳	被叫	665423	2013-09-22 18:01:19	0:0:20	0.00	0.00
152	揭阳	被叫	18125197005	2013-09-22 18:32:36	0:0:34	0.00	0.00
153	揭阳	被叫	665423	2013-09-22 19:40:48	0:2:30	0.00	0.00
154	揭阳	主叫	18125197005	2013-09-22 19:44:20	0:0:19	0.00	0.49
155	揭阳	中国移动ip	1795115815144422	2013-09-23 09:58:37	0:0:17	0.08	0.09
156	揭阳	被叫	15815144422	2013-09-23 09:59:18	0:3:7	0.00	0.00
157	揭阳	被叫	18511456468	2013-09-23 14:48:52	0:0:7	0.00	0.00
158	揭阳	主叫	665990	2013-09-23 16:47:31	0:26:56	0.00	0.00
159	揭阳	中国移动ip	1795115815144422	2013-09-23 20:26:14	0:3:31	0.64	0.60
160	揭阳	被叫	665990	2013-09-24 10:09:39	0:26:44	0.00	0.00
