		清单数据仅供参考，最终的话费总额请以账单为准
序号	通话地	通话类型	对方号码	开始时间	通话时长	移动话费	长途话费
1	揭阳	省内10元短号网套餐	980	2013-08-01 05:52:20	0:0:0	10.00	0.00
2	揭阳	主叫	665990	2013-08-01 12:50:39	0:0:42	0.00	0.00
3	揭阳	被叫	13927086666	2013-08-01 15:31:37	0:0:14	0.00	0.00
4	揭阳	被叫	18125197005	2013-08-01 21:53:03	0:1:45	0.00	0.00
5	揭阳	被叫	665990	2013-08-02 13:39:41	0:0:33	0.00	0.00
6	揭阳	被叫	665990	2013-08-02 13:40:36	0:17:51	0.00	0.00
7	揭阳	被叫	666262	2013-08-02 14:51:19	0:0:51	0.00	0.00
8	揭阳	被叫	666262	2013-08-02 14:57:04	0:0:46	0.00	0.00
9	揭阳	被叫	18022595447	2013-08-02 17:29:08	0:0:52	0.00	0.00
10	揭阳	被叫	18125197005	2013-08-02 21:32:23	0:0:26	0.00	0.00
11	揭阳	主叫	665990	2013-08-03 11:57:08	0:8:20	0.00	0.00
12	揭阳	被叫	666262	2013-08-03 15:24:03	0:4:24	0.00	0.00
13	揭阳	被叫	18125197005	2013-08-03 17:17:08	0:0:21	0.00	0.00
14	揭阳	被叫	18125197005	2013-08-03 17:18:46	0:1:36	0.00	0.00
15	揭阳	被叫	18125197005	2013-08-03 17:21:03	0:2:1	0.00	0.00
16	揭阳	主叫	18125197005	2013-08-03 21:12:16	0:2:14	0.00	1.47
17	揭阳	被叫	666262	2013-08-03 21:44:51	0:0:33	0.00	0.00
18	揭阳	被叫	666262	2013-08-03 21:46:08	0:1:15	0.00	0.00
19	揭阳	被叫	18125197005	2013-08-03 22:00:54	0:1:45	0.00	0.00
20	揭阳	被叫	18125197005	2013-08-03 22:10:22	0:1:53	0.00	0.00
21	揭阳	被叫	18125197005	2013-08-04 00:19:45	0:1:51	0.00	0.00
22	汕头	主叫	666262	2013-08-04 09:43:09	0:0:29	0.00	0.00
23	汕头	主叫	15815144422	2013-08-04 09:58:11	0:0:10	0.59	0.00
24	汕头	主叫	06638125369	2013-08-04 09:59:19	0:0:9	0.59	0.00
25	汕头	主叫	665990	2013-08-04 12:42:35	0:6:17	0.00	0.00
26	汕头	主叫	665990	2013-08-04 12:49:40	0:1:26	0.00	0.00
27	汕头	被叫	666262	2013-08-04 17:51:43	0:0:8	0.00	0.00
28	汕头	被叫	666262	2013-08-04 18:01:13	0:0:5	0.00	0.00
29	汕头	主叫	666262	2013-08-04 18:01:44	0:0:40	0.00	0.00
30	汕头	主叫	665990	2013-08-04 18:30:56	0:0:50	0.00	0.00
31	揭阳	被叫	18927056610	2013-08-04 19:17:16	0:0:16	0.00	0.00
32	揭阳	被叫	665990	2013-08-04 19:37:20	0:0:21	0.00	0.00
33	揭阳	主叫	13687484000	2013-08-04 19:40:07	0:0:38	0.16	0.00
34	揭阳	被叫	13828193310	2013-08-04 20:21:22	0:0:14	0.00	0.00
35	揭阳	被叫	15815144422	2013-08-04 21:55:42	0:2:25	0.00	0.00
36	揭阳	被叫	666262	2013-08-05 17:12:10	0:2:30	0.00	0.00
37	揭阳	被叫	13322764666	2013-08-06 18:27:48	0:0:19	0.00	0.00
38	揭阳	被叫	13592901522	2013-08-06 21:06:19	0:0:14	0.00	0.00
39	揭阳	被叫	18125197005	2013-08-06 21:48:59	0:2:42	0.00	0.00
40	揭阳	被叫	18125197005	2013-08-06 21:53:09	0:2:19	0.00	0.00
41	揭阳	主叫	18666332272	2013-08-07 10:37:37	0:0:11	0.08	0.00
42	揭阳	主叫	665990	2013-08-07 13:03:19	0:0:48	0.00	0.00
43	揭阳	被叫	06638235448	2013-08-07 15:57:27	0:1:48	0.00	0.00
44	揭阳	主叫	665990	2013-08-07 16:59:37	0:0:28	0.00	0.00
45	揭阳	被叫	665990	2013-08-07 17:01:33	0:0:28	0.00	0.00
46	揭阳	主叫	665990	2013-08-07 17:06:44	0:0:26	0.00	0.00
47	揭阳	被叫	18125197005	2013-08-07 23:35:35	0:2:20	0.00	0.00
48	揭阳	被叫	665990	2013-08-08 11:07:43	0:20:53	0.00	0.00
49	揭阳	主叫	665990	2013-08-08 12:00:27	0:1:35	0.00	0.00
50	揭阳	被叫	18927056610	2013-08-08 19:21:55	0:0:10	0.00	0.00
51	揭阳	主叫	18666332272	2013-08-08 20:06:54	0:0:24	0.16	0.00
52	揭阳	被叫	18666332272	2013-08-08 20:11:32	0:0:9	0.00	0.00
53	揭阳	主叫	13592901522	2013-08-08 20:16:25	0:0:28	0.16	0.00
54	揭阳	被叫	18125197005	2013-08-08 22:04:29	0:1:37	0.00	0.00
